"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2010,"2010/11 financial year",787040,14.96,14.93,14.99,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2010,"2010/11 financial year",60822,16.31,16.2,16.43,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2010,"2010/11 financial year",17226,15.15,14.94,15.36,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2010,"2010/11 financial year",22280,14.75,14.57,14.92,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2010,"2010/11 financial year",55334,15.26,15.14,15.38,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2010,"2010/11 financial year",43976,14.86,14.73,14.98,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2010,"2010/11 financial year",70337,12.45,12.37,12.54,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2010,"2010/11 financial year",187333,16.61,16.54,16.68,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2010,"2010/11 financial year",43033,13.48,13.36,13.59,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2010,"2010/11 financial year",104352,16.07,15.98,16.16,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2010,"2010/11 financial year",111323,13.49,13.41,13.56,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2010,"2010/11 financial year",2605,12.28,11.84,12.72,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2010,"2010/11 financial year",2703,11.72,11.31,12.14,"Percentage","Public Health Scotland (Prescribing Information System)"
