indicator,area_name,area_code,area_type,year,period,numerator,measure,region pop,lower_confidence_interval,upper_confidence_interval,definition,data_source
Population prescribed drugs for anxiety/depression/psychosis,Scotland,S00000001,Scotland,2010,2010/11 financial year,787040,14.96,5260962.567,14.93,14.99,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Ayrshire & Arran,S08000015,Health board,2010,2010/11 financial year,60822,16.31,372912,16.2,16.43,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Borders,S08000016,Health board,2010,2010/11 financial year,17226,15.15,113703,14.94,15.36,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Dumfries & Galloway,S08000017,Health board,2010,2010/11 financial year,22280,14.75,151051,14.57,14.92,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Fife,S08000029,Health board,2010,2010/11 financial year,55334,15.26,362608,15.14,15.38,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Forth Valley,S08000019,Health board,2010,2010/11 financial year,43976,14.86,295935,14.73,14.98,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Grampian,S08000020,Health board,2010,2010/11 financial year,70337,12.45,564956,12.37,12.54,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Greater Glasgow & Clyde,S08000031,Health board,2010,2010/11 financial year,187333,16.61,1127833,16.54,16.68,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Highland,S08000022,Health board,2010,2010/11 financial year,43033,13.48,319236,13.36,13.59,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Lanarkshire,S08000032,Health board,2010,2010/11 financial year,104352,16.07,649359,15.98,16.16,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Lothian,S08000024,Health board,2010,2010/11 financial year,111323,13.49,825226,13.41,13.56,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Orkney,S08000025,Health board,2010,2010/11 financial year,2605,12.28,21213,11.84,12.72,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Shetland,S08000026,Health board,2010,2010/11 financial year,2703,11.72,23063,11.31,12.14,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Tayside,S08000030,Health board,2010,2010/11 financial year,61911,15.21,407041,15.1,15.32,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Western Isles,S08000028,Health board,2010,2010/11 financial year,3805,13.79,27592,13.38,14.2,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,Scotland,S00000001,Scotland,2011,2011/12 financial year,826064,15.59,5298678.64,15.56,15.62,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Ayrshire & Arran,S08000015,Health board,2011,2011/12 financial year,63586,17.01,373815.4027,16.89,17.13,Percentage,Public Health Scotland (Prescribing Information System)
Population prescribed drugs for anxiety/depression/psychosis,NHS Borders,S08000016,Health board,2011,2011/12 financial year,17977,15.79,113850.5383,15.58,16,Percentage,Public Health Scotland (Prescribing Information System)
